Date,Guinea,Liberia,Sierra Leone
2015-11-29,0.02272727272747943,0,0
2015-11-30,0.02272727272747943,0,0
2015-12-01,0.022727272727024683,0,0
2015-12-02,0.02272727272747943,0,0
2015-12-03,0.022727272727024683,0,0
2015-12-04,0.02272727272747943,0,0
2015-12-05,0.022727272727024683,0,0
2015-12-06,0.02272727272747943,0,0
2015-12-07,0.022727272727024683,0,0
2015-12-08,0.02272727272747943,0,0
2015-12-09,0.022727272727024683,0,0
2015-12-10,0.02272727272747943,0,0
2015-12-11,0.02272727272747943,0,0
2015-12-12,0.022727272727024683,0,0
2015-12-13,0.02272727272747943,0,0
2015-12-14,0.022727272727024683,0,0
2015-12-15,0.02272727272747943,0,0
2015-12-16,0.022727272727024683,0,0
2015-12-17,0.02272727272747943,0,0
2015-12-18,0.022727272727024683,0,0
2015-12-19,0.02272727272747943,0,0
2015-12-20,0.022727272727024683,0,0
2015-12-21,0.02272727272747943,0,0
2015-12-22,0.02272727272747943,0,0
2015-12-23,0.022727272727024683,0,0
2015-12-24,0.02272727272747943,0,0
2015-12-25,0.022727272727024683,0,0
2015-12-26,0.02272727272747943,0,0
2015-12-27,0.022727272727024683,0,0
2015-12-28,0.02272727272747943,0,0
2015-12-29,0.022727272727024683,0,0
2015-12-30,0.02272727272747943,0,0
2015-12-31,0.022727272727024683,0,0
2016-01-01,0.02272727272747943,0,0
2016-01-02,0.02272727272747943,0,0
2016-01-03,0.022727272727024683,0,0
2016-01-04,0.02272727272747943,0,0
2016-01-05,0.022727272727024683,0,0
2016-01-06,0.02272727272747943,0,0
2016-01-07,0.022727272727024683,0,0
2016-01-08,0.02272727272747943,0,0
2016-01-09,0.022727272727024683,0,0
2016-01-10,0.02272727272747943,0,0
2016-01-11,0.022727272727024683,0,0
2016-01-12,0.02272727272747943,0,0
2016-01-13,0.02272727272747943,0,0
2016-01-14,0.022727272727024683,0,0
2016-01-15,0.02272727272747943,0,0
2016-01-16,0.022727272727024683,0,0
2016-01-17,0.02272727272747943,0,0
2016-01-18,0.022727272727024683,0,0
2016-01-19,0.02272727272747943,0,0
2016-01-20,0.022727272727024683,0,0
2016-01-21,0.02272727272747943,0,0
2016-01-22,0.022727272727024683,0,0
2016-01-23,0.02272727272747943,0,0
2016-01-24,0.02272727272747943,0,0
2016-01-25,0.022727272727024683,0,0
2016-01-26,0.02272727272747943,0,0
2016-01-27,0.022727272727024683,0,0
2016-01-28,0.02272727272747943,0,0
2016-01-29,0.022727272727024683,0,0
2016-01-30,0.02272727272747943,0,0
2016-01-31,0.022727272727024683,0,0
2016-02-01,0.02272727272747943,0,0
2016-02-02,0.022727272727024683,0,0
2016-02-03,0.02272727272747943,0,0
